channelId,id,title,publishedAt,categoryId,channelTitle,duration,viewCount,likeCount,dislikeCount,commentCount
UC16PH7fpI9gShGPJyLTLvpQ,yQmtwEgFpoo,FUT 17 DRAFT : J'AI MA BUGATTI VERÓN !!,2016-11-16T13:00:06Z,20,BAR2FAIRE,PT9M29S,5892,262.0,29.0,55.0
UC16PH7fpI9gShGPJyLTLvpQ,m5jZUYH7PKU,FUT 17 DRAFT : MAIS.. MAIS QU'EST CE QU'IL FAIT LUI ?!!,2016-11-09T16:25:18Z,20,BAR2FAIRE,PT10M17S,3552,178.0,24.0,33.0
UC16PH7fpI9gShGPJyLTLvpQ,fQu8hNNDt74,FUT 17 PACK OPENING : NAN MAIS CETTE CHANCE QUOI !!!,2016-11-06T17:00:29Z,20,BAR2FAIRE,PT6M59S,4840,352.0,50.0,42.0
UC16PH7fpI9gShGPJyLTLvpQ,jsv7EMvw4Jo,L'AVENIR DE LA CHAINE : L'IMPRO,2016-11-05T15:30:00Z,20,BAR2FAIRE,PT7M49S,7372,348.0,73.0,195.0
UC16PH7fpI9gShGPJyLTLvpQ,HZC62Zttgqw,FIFA 16 - QUAND TON ELGATO VEUT QUE TU PERDES ! :(,2016-09-14T15:00:01Z,20,BAR2FAIRE,PT10M9S,3978,170.0,59.0,53.0
UC16PH7fpI9gShGPJyLTLvpQ,a3vclEKqkUo,◘ SNAP MA DRAFT - QUAND T'A VRAIMENT PAS DE CHANCE ! :(,2016-06-28T17:32:44Z,20,BAR2FAIRE,PT12M51S,12477,547.0,59.0,133.0
UC16PH7fpI9gShGPJyLTLvpQ,uoWwmc2owuc,UHC RUN | DEFI 39 : GAGNER SANS SAUTER,2016-06-25T11:00:05Z,20,BAR2FAIRE,PT23M35S,30311,1131.0,47.0,443.0
UC16PH7fpI9gShGPJyLTLvpQ,7xXQF-V5-Xk,DOUBLE RUNNER #27 | TEST DU PVP 1.9 AVEC DU KILL !!,2016-06-22T11:00:01Z,20,BAR2FAIRE,PT16M8S,18420,514.0,17.0,193.0
UC16PH7fpI9gShGPJyLTLvpQ,sie__fw8d3g,FUT 16 - LES DRAFTS C'EST COOL #2,2016-06-20T16:09:05Z,20,BAR2FAIRE,PT9M35S,8866,536.0,24.0,32.0
UC16PH7fpI9gShGPJyLTLvpQ,u30Bm9a-Qy0,LE CROSS KILL EST DEVENU UN FLEAU !!!  - ZAPPONS #9,2016-06-18T11:00:02Z,20,BAR2FAIRE,PT11M51S,15773,698.0,24.0,111.0
