,channelId
42823,UCtVVm-Es5n2kfDMuLRjOJDQ
42824,UCMM1aoTVRH6j3h_GDMYuUvw
42825,UCSnMrY0D7WBw_xqKRNcIM9Q
42826,UCAEs8vIxnq4_ylYmXZR8jKA
42827,UCiifkYAs_bq1pt_zbNAzYGg
42828,UCFVlPU0AoRZE9m-ekv1HEZg
42829,UCpN3aZsyGcz5AzaLLmWIf3A
42830,UCd_26xqPvQVhzsWMt6srgcQ
42831,UCHDQSPTumsgMmEFVdLJzQyg
42832,UCN7c_Kn9E4_u81ilU9TFdJA
42833,UCQ1FIEUb7fJ6TgO09LJ98Rw
42834,UCznrkUFExbY2SbW3RKYKU6w
42835,UCKXT7Z01QrrX8LeEpJmT7hg
42836,UCMsvUov-1_UV63lLHMUyU2Q
42837,UCKhV2DVjqAZPeD31qH1-noA
42838,UC_9Uw_bawsAjj_vgCnHS2tA
42839,UC14CIk9MS0I2dATCHG8SO9Q
42840,UCauVJG0ne2b0oB8cWpc18ww
42841,UCeGI8mStOeF87JBsJYDe1nw
42842,UCb5HerO2QOI_Rr-TbPmef7Q
42843,UC5hCarmujpQYYjamiKNHYCQ
42844,UCuJ2U3JrGhhT9OA3zxPH19A
42845,UCRRejDDd1MgQEzMRjfQ42gw
42846,UCPjwds_xlWygCN1_hXYbvdg
42847,UCKLZ4Uw-JgFOYdl7Jicw9Nw
42848,UCUb3I0oyWxAqMX2IL0Lsd-g
42849,UCSs9OCmwIjy1UxojLhAYzbw
42850,UCNFncRM2qjygjCco26qQ4Sg
42851,UCxwYG6oaahBCs60X95_qRNQ
42852,UCxNBkvNRIvMZ7DCgg-FeaEg
42853,UCvAjXgATmDMEiLgPfc3AcVg
42854,UCV6s3_LNR6ryAm82DoCXczA
42855,UC4UI7s987kPE-_FZwO5RrBw
42856,UCTlVeklc0cz1tnuyJlY9b0A
42857,UCnSvdADbsc8vaT0M3D23-cQ
42858,UCpI0UFQ6BncfTkWDJaKRntQ
42859,UCaAtiwsuNkiLs6VNasRZLsA
42860,UChm2ToKCswzRRMJMefCtCRA
42861,UCBnLE14tUHTDyDc8Xij9rAg
42862,UCQSXoYEPBXNPSx1hWbO2WRQ
42863,UCsOcrBeRiKZ9uxPAgQPXdhw
42864,UCEeRbCBby2nHexGsYr5pu0g
42865,UCKRAVZsH5GlLGJ98NBZyoqg
42866,UCuhpnJGP-7w3txtBh43Os_w
42867,UCRBkvH40yvSdqRA3RVevQKw
42868,UCZ-sNXZ2ZNUOQHk0yamSg3g
42869,UCaPFL_R3es4id_1F_S-zpsg
42870,UC5bPrFZQjFXs3IiLDp55RCQ
42871,UCFSWdmqv2vPl69IR44uxnDg
42872,UCymfquVKTNgwyvLYHZQwp8Q
42873,UCxMcqiXkGLvCwbWXB-LksvQ
42874,UCeVEJwMgs57Bsm4rRNeW1Kw
42875,UCxj14Pwrc19Nx7XZVSIe4UA
42876,UC7xb8JR0wrVfZjUo3XkZ3BA
42877,UCS2kMW6KkVBmGGC1PgfvElg
42878,UCfn5dIMfUma-o-Yk5T3wThg
42879,UCpdx7ajDXqIgvqtMQ83rPPw
42880,UCB2oAtttvo7MaFcOkEA2_eA
42881,UCyMkVWy2iePS9tBC1G9HlSA
42882,UCbZFWEgoYBxQLuVrWHu3u-g
42883,UCLYDrWrebYiDOL4Q61LUiBg
42884,UC4f-UDYCP8RB1IBlBU13bsA
42885,UCMCofVse7uNDMCPJ-lIBHcg
42886,UCyqDxPUhYbcUALbowyDoLuw
42887,UCsJ-HwSBuiuz5j1a5vCgH-Q
42888,UCADhU5_ZIB37XfXsQXKe9XQ
42889,UCQR_jO1aqpsdfrZNHkoSjDQ
42890,UCWnfXQkYghxil7h90uticTA
42891,UCzI42vOaPlEOzJtNm4eezxQ
42892,UCoZz9G7PyY9siwzOH8jFadg
42893,UCPGOKefVSHVM83wVr8skDgQ
42894,UCnK2FpBstpeCvm9DXLIfnmQ
42895,UC65wOLDcy5DrIwYcbHacqAA
42896,UCeGgt8Gv7cfXGeXRDGQy_tA
42897,UCsMmeF7T0vJStdgNnGCSUnw
42898,UCvTZcAVQdrKpg2b3DPI28yA
42899,UCrCXrfm0UL8ude0UbUA1iFQ
42900,UCals2KsLmdWMFf3jrWiICHw
42901,UC9eLBPAVStH3AcZgSjcbwEQ
42902,UC9UUehlXX83slpXNGQNoBfw
42903,UC5Ctdh0wUwSX4AWqm9zJ_Bw
42904,UCD77Pxgn20ORKYj4ubAsQWg
42905,UCYl1ukY1PXLhRb-yBux4z8g
42906,UCiIXzngc542pqWoc6UToLpQ
42907,UCeKwrvbv8iBUVQ7mUAtFyXA
42908,UCrhhQieNpjn8oeMbDUlnjtw
42909,UC1V_gz9RPzmrjFQC6gm4Etg
42910,UCWJ8R5V_7oYSwX42ro-zezg
42911,UCvthuVsurPaVz2a7_4LepGg
42912,UCx3gOwVrtnweWd9xFpwgJPQ
42913,UCVT71bu-zuez3NmweWSXLwg
42914,UC8NY_wN1QafsWJaE22mlRww
42915,UCEkjMEjHZYBYAsBkjh7S4qw
42916,UCLhw4Geo7lwABlTjLypa4MQ
42917,UCKcPrrmDcYOsrwxQWO9OdGA
42918,UCBcfiM-e7XZNOYwM8JR0_ww
42919,UCDiUZ--76sn6yAfA_p5iWPw
42920,UCrLF_1TK7IHKZ0zPHsGyg2w
42921,UCHC7WKecm42ptBmWM-FWv6g
42922,UCdcN0laswgCoFidpqVw7O9Q
42923,UC3NKlFiWtwPTitbtnCb05Lg
42924,UC9T0nFag-h2NuNJvnouDKTQ
42925,UCKCRR8giBG63OX8Cq53AjRQ
42926,UCjHy0njBuz3WD1s18EsNthg
42927,UCmoeWjtR-qKFY2J5JAjH8Wg
42928,UCTznJSbWcj7bmNoFRANgNOA
42929,UCTMh71E4_y3fLj__-VzTr4g
42930,UC9CzTs_M9Nc7Wr0sL5yBOGg
42931,UCMd_-wtR6niayLaovLXnmaA
42932,UCas2SFPvUEMzjPCVfBecWBA
42933,UCiVgeJiiLNEhJcTusOk9C4g
42934,UCGONkgqcH20TUEVqSQgN3Mw
42935,UCb5IaHvMkRMC8evQd8Pt2FQ
42936,UCxIclt52jBrP6d0sy5FB5Gg
42937,UCzBbugtPfa0791UPRyUSKrA
42938,UC3CFLlrJQi81xprwxTo59jw
42939,UCpDJG8lfSo2smyz9z5C7P-A
42940,UCeNXiobzRLSlvQ0VunnmzgA
42941,UC_t4cWqEsSFclkkCSvV5a3A
42942,UCYHhjU067YDPKB7THLcNAzA
